word,type,definition,alpha
abbess,n., The lady superior of a nunnery,a
abbot,n., The superior of a community of monks,a
abdicate,v., To give up (royal power or the like),a
abdominal,n.," Of, pertaining to, or situated on the abdomen",a
abduction,n.," A carrying away of a person against his will, or illegally",a
aberration,n.," Deviation from a right, customary, or prescribed course",a
abet,v.," To aid, promote, or encourage the commission of (an offense)",a
abeyance,n., A state of suspension or temporary inaction,a
abhorrence,n., The act of detesting extremely,a
abhorrent,adj., Very repugnant; hateful,a
abidance,n., An abiding,a
abject,adj., Sunk to a low condition,a
abjure,v.," To recant, renounce, repudiate under oath",a
ablution,n.," A washing or cleansing, especially of the body",a
abnegate,v., To renounce (a right or privilege),a
abnormal,adj., Not conformed to the ordinary rule or standard,a
abominable,adj., Very hateful,a
abominate,v., To hate violently,a
abomination,n., A very detestable act or practice,a
aboriginal,adj., Primitive; unsophisticated,a
aborigines,n., The original of earliest known inhabitants of a country,a
abrade,v., To wear away the surface or some part of by friction,a
abrasion,n., That which is rubbed off,a
abridgment,n., A condensed form as of a book or play,a
abrogate,v.," To abolish, repeal",a
abrupt,adj.," Beginning, ending, or changing suddenly or with a break",a
abscess,n., A Collection of pus in a cavity formed within some tissue of the body,a
abscission,n.," The act of cutting off, as in a surgical operation",a
abscond,v.," To depart suddenly and secretly, as for the purpose of escaping arrest",a
absence,n., The fact of not being present or available,a
absolution,n.," Forgiveness, or passing over of offenses",a
absolve,v., To free from sin or its penalties,a
absorb,v.," To drink in or suck up, as a sponge absorbs water",a
absorption,n., The act or process of absorbing,a
abstain,v., To keep oneself back (from doing or using something),a
abstemious,adj.," Characterized by self denial or abstinence, as in the use of drink, food",a
abstinence,n., Self denial,a
abstruse,adj., Dealing with matters difficult to be understood,a
absurd,adj., Inconsistent with reason or common sense,a
abundant,adj., Plentiful,a
abusive,adj., Employing harsh words or ill treatment,a
abut,v., To touch at the end or boundary line,a
abyss,n., Bottomless gulf,a
academic,adj.," Of or pertaining to an academy, college, or university",a
academician,n.," A member of an academy of literature, art, or science",a
academy,n., Any institution where the higher branches of learning are taught,a
accede,v., To agree,a
accelerate,v., To move faster,a
accept,v., To take when offered,a
access,n., A way of approach or entrance; passage,a
accessible,adj., Approachable,a
accession,n.," Induction or elevation, as to dignity, office, or government",a
accessory,n., A person or thing that aids the principal agent,a
acclaim,v., To utter with a shout,a
accommodate,v., To furnish something as a kindness or favor,a
accompaniment,n.," A subordinate part or parts, enriching or supporting the leading part",a
accompanist,n., One who or that which accompanies,a
